2024-09-30T10:02:05.043+10:00 192.168.1.3 password failed for user ; USER=ubuntu1
2024-09-30T10:15:05.043+10:00 192.168.1.3 password failed for user ; USER=ubuntu1
2024-09-30T09:53:19.043+10:00 172.16.0.5 session closed for user root ; USER=admin
2024-09-30T09:34:16.043+10:00 10.0.0.1 user added to sudo group ; USER=unauthorized_user
2024-09-30T10:10:44.043+10:00 192.168.1.2 session opened for user ; USER=ubuntu2
2024-09-30T09:30:11.043+10:00 172.16.0.5 session closed for user root ; USER=ubuntu2
2024-09-30T09:36:54.043+10:00 192.168.1.3 session opened for user root ; USER=ubuntu1
2024-09-30T10:05:03.043+10:00 192.168.1.3 privilege escalation detected ; USER=ubuntu1
2024-09-30T09:43:51.043+10:00 192.168.1.2 session closed for user ; USER=ubuntu2
2024-09-30T10:26:52.045+10:00 10.0.0.1 password failed for user ; USER=guest
2024-09-30T10:00:32.045+10:00 10.0.0.1 session closed for user ; USER=ubuntu2
2024-09-30T10:16:40.045+10:00 192.168.1.3 failed sudo command attempt ; USER=guest
2024-09-30T10:24:33.045+10:00 172.16.0.5 attempt to execute root command ; USER=unauthorized_user
2024-09-30T09:41:27.045+10:00 172.16.0.5 session closed for user ; USER=ubuntu1
2024-09-30T10:24:57.045+10:00 192.168.1.3 session opened for user ; USER=root
2024-09-30T09:52:01.045+10:00 10.0.0.1 attempted access to restricted files ; USER=ubuntu1
2024-09-30T10:07:34.045+10:00 192.168.1.3 password accepted for user ; USER=admin
2024-09-30T09:42:09.045+10:00 192.168.1.3 session closed for user root ; USER=guest
2024-09-30T09:57:23.045+10:00 192.168.1.2 session closed for user root ; USER=admin
2024-09-30T10:05:56.045+10:00 192.168.100.20 password accepted for user ; USER=root
2024-09-30T10:01:27.045+10:00 192.168.100.20 session opened for user root ; USER=guest
2024-09-30T10:25:15.045+10:00 192.168.1.3 password failed for user ; USER=ubuntu2
2024-09-30T10:10:11.045+10:00 192.168.1.2 password accepted for user ; USER=guest
2024-09-30T10:10:56.045+10:00 192.168.1.3 password accepted for user ; USER=ubuntu2
2024-09-30T10:17:35.045+10:00 192.168.1.3 session closed for user root ; USER=root
2024-09-30T10:16:02.045+10:00 10.0.0.1 session closed for user ; USER=root
2024-09-30T09:57:28.045+10:00 192.168.1.3 attempted access to restricted files ; USER=unauthorized_user
2024-09-30T09:31:54.045+10:00 192.168.1.2 privilege escalation detected ; USER=ubuntu2
2024-09-30T10:14:02.045+10:00 192.168.100.20 password accepted for user ; USER=guest
2024-09-30T10:26:04.045+10:00 172.16.0.5 session opened for user ; USER=ubuntu1
2024-09-30T10:23:05.045+10:00 10.0.0.1 failed sudo command attempt ; USER=unauthorized_user
2024-09-30T09:39:20.045+10:00 192.168.1.2 password failed for user ; USER=admin
2024-09-30T10:22:30.045+10:00 192.168.1.3 session closed for user ; USER=ubuntu1
2024-09-30T09:39:41.045+10:00 192.168.100.20 session opened for user ; USER=ubuntu2
2024-09-30T10:19:18.045+10:00 172.16.0.5 session closed for user ; USER=ubuntu1
2024-09-30T09:49:26.045+10:00 172.16.0.5 user added to sudo group ; USER=unauthorized_user
2024-09-30T09:36:58.045+10:00 10.0.0.1 session closed for user root ; USER=ubuntu2
2024-09-30T10:10:34.045+10:00 192.168.1.2 session closed for user ; USER=ubuntu1
2024-09-30T10:26:02.045+10:00 172.16.0.5 attempt to execute root command ; USER=root
2024-09-30T10:11:31.045+10:00 192.168.1.3 session closed for user root ; USER=ubuntu1
2024-09-30T10:01:29.045+10:00 172.16.0.5 session closed for user ; USER=root
2024-09-30T09:36:26.045+10:00 192.168.1.2 sudo command executed ; USER=unauthorized_user
2024-09-30T10:10:49.045+10:00 192.168.100.20 privilege escalation detected ; USER=root
2024-09-30T10:22:58.045+10:00 192.168.1.2 session closed for user root ; USER=root
2024-09-30T09:52:05.045+10:00 192.168.1.2 password accepted for user ; USER=admin
2024-09-30T09:55:04.045+10:00 192.168.100.20 password failed for user ; USER=root
2024-09-30T09:58:18.045+10:00 192.168.100.20 failed sudo command attempt ; USER=guest
2024-09-30T09:53:28.045+10:00 172.16.0.5 session opened for user root ; USER=root
2024-09-30T10:21:51.045+10:00 10.0.0.1 user added to sudo group ; USER=guest
2024-09-30T09:59:27.045+10:00 10.0.0.1 session closed for user root ; USER=ubuntu1
2024-09-30T10:18:38.045+10:00 192.168.100.20 attempted access to restricted files ; USER=unauthorized_user
2024-09-30T09:52:37.045+10:00 172.16.0.5 session closed for user ; USER=root
2024-09-30T09:31:14.045+10:00 10.0.0.1 password failed for user ; USER=guest
2024-09-30T09:40:29.045+10:00 192.168.1.3 session closed for user root ; USER=admin
2024-09-30T10:11:29.045+10:00 192.168.1.3 user added to sudo group ; USER=admin
2024-09-30T10:27:43.045+10:00 192.168.1.2 session closed for user ; USER=ubuntu2
2024-09-30T10:11:19.045+10:00 192.168.1.2 session closed for user ; USER=ubuntu2
2024-09-30T09:57:33.045+10:00 192.168.1.3 session opened for user root ; USER=ubuntu1
2024-09-30T09:45:24.045+10:00 192.168.100.20 session closed for user ; USER=ubuntu1
2024-09-30T10:18:45.045+10:00 192.168.1.3 password accepted for user ; USER=ubuntu2
2024-09-30T10:25:50.045+10:00 172.16.0.5 session opened for user ; USER=ubuntu1
2024-09-30T10:18:34.045+10:00 192.168.1.2 session opened for user ; USER=ubuntu1
2024-09-30T09:49:14.045+10:00 192.168.1.2 attempted access to restricted files ; USER=admin
